15:36:17 | Alertas=[] | Latency=69.95677947998047 | Traffic=13
15:36:19 | Alertas=['MEDIUM_LATENCY'] | Latency=78.81426811218262 | Traffic=4
15:36:21 | Alertas=['MEDIUM_LATENCY'] | Latency=78.13858985900879 | Traffic=5
15:36:23 | Alertas=['MEDIUM_LATENCY'] | Latency=73.16064834594727 | Traffic=2
15:36:26 | Alertas=[] | Latency=69.40937042236328 | Traffic=1
15:36:28 | Alertas=[] | Latency=65.61160087585449 | Traffic=5
15:36:30 | Alertas=['MEDIUM_LATENCY'] | Latency=78.14240455627441 | Traffic=1
15:36:32 | Alertas=['MEDIUM_LATENCY'] | Latency=78.62496376037598 | Traffic=1
15:36:35 | Alertas=['MEDIUM_LATENCY'] | Latency=78.53388786315918 | Traffic=12
15:36:37 | Alertas=['MEDIUM_LATENCY'] | Latency=84.83481407165527 | Traffic=5
15:36:39 | Alertas=['MEDIUM_LATENCY'] | Latency=84.82146263122559 | Traffic=20
15:36:41 | Alertas=['MEDIUM_LATENCY'] | Latency=76.74646377563477 | Traffic=20
15:36:43 | Alertas=['MEDIUM_LATENCY'] | Latency=77.62742042541504 | Traffic=13
15:36:46 | Alertas=['MEDIUM_LATENCY'] | Latency=70.90950012207031 | Traffic=6
15:36:48 | Alertas=['MEDIUM_LATENCY'] | Latency=93.6272144317627 | Traffic=3
15:36:50 | Alertas=['MEDIUM_LATENCY'] | Latency=77.24952697753906 | Traffic=1
15:36:52 | Alertas=['MEDIUM_LATENCY'] | Latency=78.5515308380127 | Traffic=3
15:36:55 | Alertas=['MEDIUM_LATENCY'] | Latency=77.58355140686035 | Traffic=4
15:36:57 | Alertas=[] | Latency=67.7030086517334 | Traffic=5
15:36:59 | Alertas=['MEDIUM_LATENCY'] | Latency=77.47983932495117 | Traffic=1
15:37:01 | Alertas=['MEDIUM_LATENCY'] | Latency=80.59310913085938 | Traffic=2
15:37:03 | Alertas=['MEDIUM_LATENCY'] | Latency=83.56881141662598 | Traffic=3
15:37:06 | Alertas=['MEDIUM_LATENCY'] | Latency=80.02448081970215 | Traffic=40
15:37:08 | Alertas=['MEDIUM_LATENCY'] | Latency=79.76341247558594 | Traffic=2
15:37:10 | Alertas=['MEDIUM_LATENCY'] | Latency=83.05692672729492 | Traffic=27
15:37:12 | Alertas=['MEDIUM_LATENCY'] | Latency=84.66887474060059 | Traffic=5
15:37:15 | Alertas=['MEDIUM_LATENCY'] | Latency=70.01233100891113 | Traffic=3
15:37:17 | Alertas=['MEDIUM_LATENCY'] | Latency=85.0670337677002 | Traffic=19
15:37:19 | Alertas=['MEDIUM_LATENCY'] | Latency=76.47490501403809 | Traffic=2
15:37:21 | Alertas=['MEDIUM_LATENCY'] | Latency=80.08980751037598 | Traffic=3
15:37:24 | Alertas=['HIGH_LATENCY'] | Latency=124.32360649108887 | Traffic=3
15:37:26 | Alertas=['MEDIUM_LATENCY'] | Latency=82.07821846008301 | Traffic=1
15:37:28 | Alertas=['MEDIUM_LATENCY'] | Latency=82.01837539672852 | Traffic=2
15:37:30 | Alertas=['MEDIUM_LATENCY'] | Latency=79.30731773376465 | Traffic=2
15:37:32 | Alertas=['MEDIUM_LATENCY'] | Latency=77.4528980255127 | Traffic=1
15:37:35 | Alertas=['MEDIUM_LATENCY'] | Latency=83.08863639831543 | Traffic=2
15:37:37 | Alertas=['MEDIUM_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=83.22978019714355 | Traffic=75
15:37:39 | Alertas=['HIGH_LATENCY'] | Latency=116.49227142333984 | Traffic=3
15:37:41 | Alertas=['MEDIUM_LATENCY'] | Latency=84.14268493652344 | Traffic=13
15:37:44 | Alertas=['MEDIUM_LATENCY'] | Latency=82.61299133300781 | Traffic=20
15:37:46 | Alertas=['MEDIUM_LATENCY'] | Latency=82.12971687316895 | Traffic=2
15:37:48 | Alertas=['MEDIUM_LATENCY'] | Latency=82.96751976013184 | Traffic=12
15:37:50 | Alertas=['MEDIUM_LATENCY'] | Latency=82.7627182006836 | Traffic=3
15:37:52 | Alertas=['MEDIUM_LATENCY'] | Latency=84.72776412963867 | Traffic=1
15:37:55 | Alertas=['MEDIUM_LATENCY'] | Latency=70.48368453979492 | Traffic=2
15:37:57 | Alertas=[] | Latency=68.13859939575195 | Traffic=8
15:37:59 | Alertas=[] | Latency=67.94381141662598 | Traffic=3
15:38:01 | Alertas=['MEDIUM_LATENCY'] | Latency=87.42904663085938 | Traffic=21
15:38:04 | Alertas=['MEDIUM_LATENCY'] | Latency=81.5134048461914 | Traffic=5
15:38:06 | Alertas=['MEDIUM_LATENCY'] | Latency=76.79533958435059 | Traffic=1
15:38:08 | Alertas=[] | Latency=67.95811653137207 | Traffic=19
15:38:10 | Alertas=[] | Latency=69.21982765197754 | Traffic=16
15:38:12 | Alertas=[] | Latency=68.76611709594727 | Traffic=47
15:38:15 | Alertas=['MEDIUM_LATENCY'] | Latency=93.68062019348145 | Traffic=36
15:38:17 | Alertas=['MEDIUM_LATENCY'] | Latency=83.6033821105957 | Traffic=5
15:38:19 | Alertas=['MEDIUM_LATENCY'] | Latency=72.88479804992676 | Traffic=11
15:38:21 | Alertas=[] | Latency=66.58577919006348 | Traffic=43
15:38:23 | Alertas=['MEDIUM_LATENCY'] | Latency=74.09954071044922 | Traffic=4
15:38:26 | Alertas=['MEDIUM_LATENCY'] | Latency=83.80913734436035 | Traffic=11
15:38:28 | Alertas=['MEDIUM_LATENCY'] | Latency=77.24285125732422 | Traffic=19
15:38:30 | Alertas=['MEDIUM_LATENCY'] | Latency=84.17224884033203 | Traffic=48
15:38:32 | Alertas=[] | Latency=63.06600570678711 | Traffic=19
15:38:35 | Alertas=['MEDIUM_LATENCY'] | Latency=81.56728744506836 | Traffic=9
15:38:37 | Alertas=[] | Latency=66.22695922851562 | Traffic=4
15:38:39 | Alertas=['MEDIUM_LATENCY'] | Latency=78.88245582580566 | Traffic=7
15:38:41 | Alertas=['MEDIUM_LATENCY'] | Latency=83.24027061462402 | Traffic=44
15:38:44 | Alertas=['MEDIUM_LATENCY'] | Latency=84.48410034179688 | Traffic=4
15:38:46 | Alertas=['MEDIUM_LATENCY'] | Latency=85.98494529724121 | Traffic=5
15:38:48 | Alertas=['MEDIUM_LATENCY'] | Latency=75.93512535095215 | Traffic=5
15:38:50 | Alertas=['MEDIUM_LATENCY'] | Latency=79.98275756835938 | Traffic=38
15:38:52 | Alertas=['MEDIUM_LATENCY'] | Latency=89.59245681762695 | Traffic=30
15:38:55 | Alertas=['MEDIUM_LATENCY'] | Latency=74.85771179199219 | Traffic=2
15:38:57 | Alertas=[] | Latency=66.36428833007812 | Traffic=3
15:38:59 | Alertas=['MEDIUM_LATENCY'] | Latency=83.91141891479492 | Traffic=2
15:39:01 | Alertas=['MEDIUM_LATENCY'] | Latency=71.04754447937012 | Traffic=30
15:39:03 | Alertas=['MEDIUM_LATENCY'] | Latency=70.23048400878906 | Traffic=33
15:39:06 | Alertas=['MEDIUM_LATENCY'] | Latency=80.68108558654785 | Traffic=6
15:39:08 | Alertas=['MEDIUM_LATENCY'] | Latency=83.18471908569336 | Traffic=5
15:39:10 | Alertas=['MEDIUM_LATENCY'] | Latency=79.64301109313965 | Traffic=26
15:39:12 | Alertas=['MEDIUM_LATENCY'] | Latency=71.86484336853027 | Traffic=3
15:39:14 | Alertas=['MEDIUM_LATENCY'] | Latency=82.0765495300293 | Traffic=18
15:39:16 | Alertas=['MEDIUM_LATENCY'] | Latency=85.4642391204834 | Traffic=14
15:39:19 | Alertas=['MEDIUM_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=82.72957801818848 | Traffic=54
15:39:21 | Alertas=['MEDIUM_LATENCY'] | Latency=73.55618476867676 | Traffic=18
15:39:23 | Alertas=['MEDIUM_LATENCY'] | Latency=70.33634185791016 | Traffic=10
15:39:25 | Alertas=['MEDIUM_LATENCY'] | Latency=75.41394233703613 | Traffic=2
15:39:27 | Alertas=['MEDIUM_LATENCY'] | Latency=76.72905921936035 | Traffic=6
15:39:30 | Alertas=['MEDIUM_LATENCY'] | Latency=78.2766342163086 | Traffic=3
15:39:32 | Alertas=['MEDIUM_LATENCY'] | Latency=72.38125801086426 | Traffic=35
15:39:34 | Alertas=['MEDIUM_LATENCY'] | Latency=83.67776870727539 | Traffic=13
15:39:36 | Alertas=['MEDIUM_LATENCY'] | Latency=82.19647407531738 | Traffic=4
15:39:39 | Alertas=['HIGH_LATENCY'] | Latency=888.9126777648926 | Traffic=41
15:39:42 | Alertas=['MEDIUM_LATENCY'] | Latency=83.00900459289551 | Traffic=47
15:39:44 | Alertas=['MEDIUM_LATENCY'] | Latency=72.72863388061523 | Traffic=25
15:39:46 | Alertas=['MEDIUM_LATENCY'] | Latency=79.5137882232666 | Traffic=9
15:39:48 | Alertas=['MEDIUM_LATENCY'] | Latency=81.54439926147461 | Traffic=35
15:39:50 | Alertas=['MEDIUM_LATENCY'] | Latency=80.74474334716797 | Traffic=8
15:39:52 | Alertas=['MEDIUM_LATENCY'] | Latency=83.75120162963867 | Traffic=8
15:39:55 | Alertas=['MEDIUM_LATENCY'] | Latency=83.72640609741211 | Traffic=11
15:39:57 | Alertas=['MEDIUM_LATENCY', 'HIGH_TRAFFIC'] | Latency=87.40353584289551 | Traffic=113
15:39:59 | Alertas=['HIGH_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=120.8350658416748 | Traffic=61
15:40:02 | Alertas=['HIGH_LATENCY'] | Latency=306.8721294403076 | Traffic=40
15:40:04 | Alertas=['HIGH_LATENCY'] | Latency=167.35267639160156 | Traffic=44
15:40:07 | Alertas=['HIGH_LATENCY'] | Latency=760.3759765625 | Traffic=31
15:40:09 | Alertas=['HIGH_LATENCY'] | Latency=293.5938835144043 | Traffic=23
15:40:12 | Alertas=['HIGH_LATENCY'] | Latency=383.50415229797363 | Traffic=27
15:40:14 | Alertas=['MEDIUM_LATENCY'] | Latency=77.49462127685547 | Traffic=43
15:40:16 | Alertas=['HIGH_LATENCY'] | Latency=185.4236125946045 | Traffic=34
15:40:18 | Alertas=['MEDIUM_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=88.44590187072754 | Traffic=59
15:40:21 | Alertas=['HIGH_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=194.16546821594238 | Traffic=100
15:40:23 | Alertas=['HIGH_LATENCY', 'MEDIUM_TRAFFIC'] | Latency=367.91467666625977 | Traffic=72
15:40:25 | Alertas=['HIGH_LATENCY'] | Latency=166.9144630432129 | Traffic=43
15:40:28 | Alertas=['MEDIUM_LATENCY'] | Latency=99.1525650024414 | Traffic=23
15:40:30 | Alertas=['HIGH_LATENCY'] | Latency=131.9725513458252 | Traffic=2
15:40:32 | Alertas=['HIGH_LATENCY'] | Latency=119.72165107727051 | Traffic=2
15:40:34 | Alertas=['MEDIUM_LATENCY'] | Latency=74.71394538879395 | Traffic=42
